Company.name,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
buildingrobotics,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicalsimulation,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cancergenetics,,,24.2,10,635.1,0.42384963125104835,0,0,,38000000.0,10000000.0,3770000000.0,37000000.0,10000000.0,282000000.0,35000000.0,65000000.0,90000000.0,2014000000.0
kindredbiosciences,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topgifter,,,2.6,6,82.5,0.3078579013284986,0,0,,33000000.0,36000000.0,376000000.0,257000000.0,111000000.0,12000000.0,0.0,0.0,0.0,0.0
itnenergysystems,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pica9,,,7.0,10,214.8,0.17687077042413046,0,0,,311000000.0,703000000.0,350000000.0,100000000.0,51000000.0,11000000.0,44000000.0,294000000.0,70000000.0,214000000.0
livelyformerlyhamlet,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actionx,,,1.0,8,3477.9,0.47896876860716786,0,0,,3000000000.0,23000000000.0,2342000000.0,120000000.0,14000000.0,6010000000.0,44000000.0,249000000.0,0.0,0.0
forgerock,,,73.8,10,388.3,0.15601381516154553,0,0,,663000000.0,335000000.0,110000000.0,200000000.0,470000000.0,745000000.0,10000000.0,80000000.0,90000000.0,1180000000.0
nakivo,,,19.0,10,6798.4,0.5231535939348865,0,0,,9992000000.0,114000000.0,941000000.0,4406000000.0,1811000000.0,1941000000.0,353000000.0,276000000.0,48000000000.0,150000000.0
bobler,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smartenergyinstruments,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytogelpharma,,,43.5,4,719.3,0.8318307939534444,0,0,,44000000.0,30000000.0,6941000000.0,178000000.0,0.0,0.0,0.0,0.0,0.0,0.0
invine,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shake,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firstfunder,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulatorybinder,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroho,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outboundengine,,,31.2,10,499.9,0.15895498806826927,0,0,,270000000.0,1500000000.0,659000000.0,1097000000.0,120000000.0,110000000.0,222000000.0,316000000.0,325000000.0,380000000.0
fidelissecuritysystems,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capzure,,,1.0,1,3.9,0.6751353602665556,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trusper,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birdhouseforautism,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tixalert,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8bitfit,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quantason,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loopport,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
utahstreetlabs,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitscopic,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datatorrent,,,2.8,10,78.3,0.17042332539176946,0,0,,85000000.0,24000000.0,45000000.0,20000000.0,109000000.0,200000000.0,10000000.0,210000000.0,10000000.0,70000000.0
investmentunderground,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clicdata,,,1.0,10,3091.8,0.2927611029030194,0,0,,340000000.0,1132000000.0,12000000000.0,100000000.0,39000000.0,30000000.0,135000000.0,6781000000.0,1000000000.0,9361000000.0
wwire,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eccentexcorporation,,,1.0,0,0.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationx,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamificationorg,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celsion,,,1.0,10,432.7,0.19634958142847397,0,0,,638000000.0,200000000.0,1322000000.0,477000000.0,50000000.0,200000000.0,32000000.0,1060000000.0,27000000.0,321000000.0
beamzinteractive,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nobleapplications,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fingo,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worthit,,,1.0,10,136.5,0.1593383140495868,0,0,,30000000.0,23000000.0,304000000.0,125000000.0,177000000.0,111000000.0,328000000.0,189000000.0,68000000.0,10000000.0
nexb,,,4.0,9,139.9,0.1699557786877131,0,0,,375000000.0,80000000.0,97000000.0,36000000.0,95000000.0,110000000.0,176000000.0,60000000.0,370000000.0,0.0
keenjar,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qumulo,,,22.8,10,11231.9,0.6967411273068705,0,0,,306000000.0,30000000.0,293000000.0,120000000.0,500000000.0,10000000.0,92000000000.0,50000000.0,19000000000.0,10000000.0
soundbetter,,,7.0,9,66.1,0.2011655042190579,0,0,,50000000.0,30000000.0,10000000.0,276000000.0,35000000.0,24000000.0,38000000.0,105000000.0,93000000.0,0.0
maxmytv,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fitstar,,,4.0,8,68.5,0.4039476813317479,0,0,,30000000.0,30000000.0,50000000.0,35000000.0,30000000.0,30000000.0,30000000.0,450000000.0,0.0,0.0
infernoredtechnology,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mytraining,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isitechnology,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gliffy,,,5.2,10,102.4,0.2105778665303133,0,0,,35000000.0,212000000.0,415000000.0,10000000.0,29000000.0,59000000.0,41000000.0,71000000.0,74000000.0,78000000.0
flowserve,,,3800.0,10,103681.6,0.805550867721398,0,0,,1237000000.0,15000000000.0,32000000000.0,71000000.0,100000000.0,135000000.0,963000000000.0,1817000000.0,23000000000.0,456000000.0
king2,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathfinderhealth,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rethinkeducation,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bionanovations,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snapmyad,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maxwellhealth,,,,,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menloparksoftware,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filmfunder,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dfmsim,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logicalchoicetechnologies,,,,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
codehs,,,25.8,10,248.7,0.4114668498113809,0,0,,60000000.0,30000000.0,40000000.0,10000000.0,50000000.0,483000000.0,1668000000.0,80000000.0,56000000.0,10000000.0
snapshots,,,1.0,8,783.4,0.5222853093247963,0,0,,120000000.0,400000000.0,650000000.0,247000000.0,500000000.0,276000000.0,5581000000.0,60000000.0,0.0,0.0
vendorsi,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
democrasoft,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collectit,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insidesalescom,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brookstone,,,117.7,10,878.8,0.1860531428489427,0,0,,100000000.0,3050000000.0,1800000000.0,1371000000.0,99000000.0,185000000.0,1500000000.0,600000000.0,55000000.0,28000000.0
simplyinsured,,,1.0,10,275.0,0.3889547889098929,0,0,,38000000.0,20000000.0,60000000.0,133000000.0,42000000.0,1513000000.0,800000000.0,80000000.0,20000000.0,44000000.0
pheebo,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
