Company.name,Company Business,owler corrrectionn,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
buildingrobotics,,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicalsimulation,,medsimulation,,10.7,10,36076.2,0.25777480476635223,0,0,,100000000.0,163000000.0,71000000000.0,122000000000.0,103000000000.0,9950000000.0,10000000.0,217000000.0,322000000.0,54000000000.0
cancergenetics,,,,24.2,10,652.2,0.4627501417371497,0,0,,38000000.0,10000000.0,3770000000.0,37000000.0,10000000.0,282000000.0,35000000.0,65000000.0,90000000.0,2014000000.0
kindredbiosciences,,kindredbio,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topgifter,,,,2.6,6,82.5,0.326574839302112,0,0,,33000000.0,36000000.0,376000000.0,257000000.0,111000000.0,12000000.0,0.0,0.0,0.0,0.0
itnenergysystems,,itnes,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pica9,,,,7.0,10,214.8,0.1875244911901071,0,0,,311000000.0,703000000.0,350000000.0,100000000.0,51000000.0,11000000.0,44000000.0,294000000.0,70000000.0,214000000.0
livelyformerlyhamlet,,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actionx,,,,1.0,8,3477.9,0.47924416115013696,0,0,,3000000000.0,23000000000.0,2342000000.0,120000000.0,14000000.0,6010000000.0,44000000.0,249000000.0,0.0,0.0
forgerock,,,,73.8,0,388.3,0.156013815,0,0,,663000000.0,335000000.0,110000000.0,200000000.0,470000000.0,745000000.0,10000000.0,80000000.0,90000000.0,1180000000.0
nakivo,,,,19.0,10,6798.4,0.5260740628213103,0,0,,9992000000.0,114000000.0,941000000.0,4406000000.0,1811000000.0,1941000000.0,353000000.0,276000000.0,48000000000.0,150000000.0
bobler,,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smartenergyinstruments,,se-instruments,,1.0,0,12.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
