Company.name,Company Business,owler corrrectionn,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
buildingrobotics,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicalsimulation,,,,10.7,10.0,36076.2,0.25777480476635223,0,0,,100000000.0,163000000.0,71000000000.0,122000000000.0,103000000000.0,9950000000.0,10000000.0,217000000.0,322000000.0,54000000000.0
cancergenetics,,,,24.2,10.0,635.1,0.423849631,0,0,,38000000.0,10000000.0,3770000000.0,37000000.0,10000000.0,282000000.0,35000000.0,65000000.0,90000000.0,2014000000.0
kindredbiosciences,,kindredbio,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topgifter,,,,2.6,6.0,82.5,0.307857901,0,0,,33000000.0,36000000.0,376000000.0,257000000.0,111000000.0,12000000.0,0.0,0.0,0.0,0.0
itnenergysystems,,itnes,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pica9,,,,7.0,10.0,214.8,0.17687077,0,0,,311000000.0,703000000.0,350000000.0,100000000.0,51000000.0,11000000.0,44000000.0,294000000.0,70000000.0,214000000.0
livelyformerlyhamlet,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actionx,,,,1.0,8.0,3477.9,0.47896876899999996,0,0,,3000000000.0,23000000000.0,2342000000.0,120000000.0,14000000.0,6010000000.0,44000000.0,249000000.0,0.0,0.0
forgerock,,,,73.8,10.0,388.3,0.156013815,0,0,,663000000.0,335000000.0,110000000.0,200000000.0,470000000.0,745000000.0,10000000.0,80000000.0,90000000.0,1180000000.0
nakivo,,,,19.0,10.0,6798.4,0.5231535939999999,0,0,,9992000000.0,114000000.0,941000000.0,4406000000.0,1811000000.0,1941000000.0,353000000.0,276000000.0,48000000000.0,150000000.0
bobler,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smartenergyinstruments,,,,1.0,1.0,12.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytogelpharma,,,,43.5,4.0,719.3,0.831830794,0,0,,44000000.0,30000000.0,6941000000.0,178000000.0,0.0,0.0,0.0,0.0,0.0,0.0
invine,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shake,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firstfunder,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulatorybinder,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroho,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outboundengine,,,,31.2,10.0,499.9,0.15895498800000002,0,0,,270000000.0,1500000000.0,659000000.0,1097000000.0,120000000.0,110000000.0,222000000.0,316000000.0,325000000.0,380000000.0
fidelissecuritysystems,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capzure,,,,1.0,1.0,3.9,0.67513536,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trusper,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birdhouseforautism,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tixalert,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8bitfit,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quantason,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loopport,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
utahstreetlabs,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitscopic,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datatorrent,,,,2.8,10.0,78.3,0.170423325,0,0,,85000000.0,24000000.0,45000000.0,20000000.0,109000000.0,200000000.0,10000000.0,210000000.0,10000000.0,70000000.0
investmentunderground,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clicdata,,,,1.0,10.0,3091.8,0.292761103,0,0,,340000000.0,1132000000.0,12000000000.0,100000000.0,39000000.0,30000000.0,135000000.0,6781000000.0,1000000000.0,9361000000.0
wwire,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eccentexcorporation,,,,1.0,0.0,0.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationx,,,,5.9,10.0,18761.3,0.9518723476426136,0,0,,105000000.0,50000000.0,46000000.0,198000000.0,64000000.0,56000000.0,3941000000.0,125000000.0,183000000000.0,28000000.0
gamificationorg,,,,,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celsion,,,,1.0,10.0,432.7,0.19634958100000002,0,0,,638000000.0,200000000.0,1322000000.0,477000000.0,50000000.0,200000000.0,32000000.0,1060000000.0,27000000.0,321000000.0
